uri,label,all_labels
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/108030,Support Facet,Support Facet
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122177,Array Terms,Array Terms
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128902,Law Array Terms,Law Array Terms
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127123,Generic Array Terms,Generic Array Terms
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135080,benefits,benefits
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122743,broadcasting,broadcasting
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126604,food security,food security
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/124403,debt,debt
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121356,abuse,abuse
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122686,booby traps,booby traps
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132903,stocks,stocks
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122441,bank loans,bank loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128073,incentives,incentives
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133616,trials,trials
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129120,loans,loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125052,drugs,drugs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134410,wireline,wireline
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121383,accessibility,accessibility
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131506,protective services,protective services
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123343,clearinghouses,clearinghouses
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/124594,demolition,demolition
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122071,appeals,appeals
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131509,protests,protests
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122271,attrition rates,attrition rates
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133059,surveyors,surveyors
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132282,seals,seals
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133374,testing,testing
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135134,contributions,contributions
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122209,Asians,Asians
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133071,swaps,swaps
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130707,Organizational Entity Array Terms,Organizational Entity Array Terms
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127143,Geographic Array Terms,Geographic Array Terms
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127376,Great Lakes,Great Lakes
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131472,Proper Term Types,Proper Term Types
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130710,Organizational Entity Types,Organizational Entity Types
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121566,"agencies, offices, and their governing bodies","agencies, offices, and their governing bodies"
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127830,housing agencies,housing agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126300,federally created entities,federally created entities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128096,independent agencies,independent agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135504,independent agencies (legislative branch),independent agencies (legislative branch)
