fraud_uri,fraud_label,fraud_label_matched,gao_uri,gao_label,similarity_score,fraud_parents
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbsenteeBallotFraud,absentee ballot fraud,absentee ballot fraud,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121347,absentee ballot,0.833,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/electionFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbuseOfNonPublicInformation,abuse of non-public information,abuse of non-public information,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131564,public information,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbusiveTaxShelter,abusive tax shelter,abusive tax shelter,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135357,abusive tax shelters,0.974,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/TaxEvasion
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbusiveTaxShelter,abusive tax shelter,abusive tax shelter,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121361,abusive tax schemes,0.842,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/TaxEvasion
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbusiveTaxStructure,abusive tax structure,abusive tax structure,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121361,abusive tax schemes,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/TaxFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Accountant,accountant,accountant,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/146210,accountant,1.0,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PartyInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Accountant,accountant,accountant,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121398,accountants,0.952,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PartyInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Accountant,accountant,accountant,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121399,accounting,0.8,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PartyInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Accountant,accountant,accountant,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121413,accounts,0.778,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PartyInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Accountant,accountant,accountant,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121396,accountability,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PartyInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AccreditationFraud,accreditation fraud,accreditation fraud,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/148194,accreditation,0.812,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ConsumerFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Adjudication,adjudication,adjudication,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121449,addiction,0.857,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Investigation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Adjudication,adjudication,adjudication,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134158,visa adjudication,0.828,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Investigation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Adjudication,adjudication,adjudication,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131671,radiation,0.762,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Investigation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Adjudication,adjudication,adjudication,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125201,Education,0.762,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Investigation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrationOfJustice,administration of justice,administration of justice,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121459,administration of justice,1.0,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrationOfJustice,administration of justice,Administration of justice,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121459,administration of justice,1.0,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrativeAction,administrative action,administrative action,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121461,administrative applications,0.875,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FederalFraudIncidentResponse
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrativeAction,administrative action,administrative action,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121478,administrative practices,0.844,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FederalFraudIncidentResponse
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrativeAction,administrative action,administrative action,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121465,administrative costs,0.829,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FederalFraudIncidentResponse
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrativeAction,administrative action,administrative action,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121471,administrative law,0.821,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FederalFraudIncidentResponse
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrativeAction,administrative action,administrative action,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121469,administrative hearings,0.818,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FederalFraudIncidentResponse
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Administrator,administrator,administrator,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121454,administration,0.889,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Employee
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Administrator,administrator,administrator,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133141,Tax Administration,0.774,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Employee
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Administrator,administrator,administrator,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121466,administrative errors,0.765,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Employee
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Administrator,administrator,administrator,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/124328,data administration,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Employee
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Administrator,administrator,administrator,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129109,loan administration,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Employee
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdultEducation,adult education institution,adult education institution,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125267,educational institutions,0.824,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/EducationalInstitution
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdultEducation,adult education institution,adult education institution,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127675,higher education institutions,0.786,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/EducationalInstitution
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Agriculture,agriculture program,agriculture program,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121659,agricultural programs,0.9,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Agriculture,agriculture program,Agriculture program,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121659,agricultural programs,0.9,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Agriculture,agriculture program,agriculture program,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121689,agriculture and food programs,0.792,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Agriculture,agriculture program,Agriculture program,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121689,agriculture and food programs,0.792,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Agriculture,agriculture program,agriculture program,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121692,agriculture contracts,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AirLoan,air loan,air loan,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126020,farm loans,0.778,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/MortgageScheme
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AlaskaNativeCorporation,Alaska Native Corporation,Alaska Native Corporation,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121833,Alaska Native Corporations (ANCs),0.893,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Business
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AlaskaNativeCorporation,Alaska Native Corporation,Alaska Native Corporation,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121549,Afognak Native Corporation,0.863,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Business
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AlaskaNativeCorporation,Alaska Native Corporation,Alaska Native Corporation,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132280,Sealaska Corporation,0.8,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Business
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AlaskaNativeCorporation,Alaska Native Corporation,Alaska Native Corporation,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121835,Alaska Native village corporations (ANVCs),0.769,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Business
